symbol,trigger_ts,trigger_date,oi_mc,surge,log_mc_usd,log_oi_usd,change_before_24h,volatility_24h,volume_ratio,price_range_24h,body_ratio,consecutive_green,rsi_14,bb_position,atr_pct,oi_change_1h,oi_change_24h,oi_acceleration,vol_range_ratio,oi_surge_ratio,pre_surge_ratio,return_24h,return_48h,return_7d,label_long,label_short,label,max_profit_24h,max_drawdown_24h
SKYAI/USDT,2025-11-18 15:30:00+00:00,2025-11-18,0.2086,0.4319,7.418135498425232,6.737549794492235,41.34,0.03718653632622719,171.5034634306558,0.5392550143266475,0.9080459770114944,3.0,95.11930585683298,1.587970494707473,0.030627829596901763,0.9821481286035609,0.918414769181068,0.9861734663349544,318.0377722491971,2.1264523481849222,0.9571660106506137,-14.17,-16.34,-17.6,not_long,short,short,16.53302787323405,-30.660557464681183
SOLV/USDT,2025-11-18 10:15:00+00:00,2025-11-18,0.462,0.1448,7.380807010634238,7.045450939865958,13.2,0.014963435642821758,233.82262048825967,0.27470059880239517,0.6996587030716716,4.0,91.40127388535034,1.5657813066437247,0.021547545606768317,0.3289611309832638,0.3467228991538828,0.32514893230233516,851.1907928400952,2.3944951599025055,0.9116022099447513,-0.68,-0.37,4.32,not_long,not_short,skip,6.66255397902531,-13.016656384947556
BAS/USDT,2025-11-19 14:15:00+00:00,2025-11-19,0.2215,0.1883,7.28443073384452,6.629859462303665,26.23,0.02100722541526464,118.52031852423889,0.4051724137931034,0.6354166666666673,2.0,91.78743961352657,1.5415987244754599,0.03265306122448977,0.21225115562873179,0.22467050355851498,0.20880836383255033,292.5182329534407,1.1931519041875465,1.3929899097185343,-31.6,-31.79,-31.39,not_long,short,short,5.8441558441558294,-44.02597402597404
TNSR/USDT,2025-11-19 12:30:00+00:00,2025-11-19,0.4437,0.1393,7.237269201402659,6.884320551417391,37.19,0.031629022913833085,20.792173945029766,0.7689432551817873,0.8226857887874838,4.0,89.79074191502853,1.4071925161092662,0.03428183906773328,1.2093270334300035,1.2853466880929683,1.1846074558391102,27.03993279727026,9.227183690545356,2.669777458722182,458.54,315.21,189.23,long,not_short,long,604.6308854873085,-13.989536911451273
ALLO/USDT,2025-11-21 12:00:00+00:00,2025-11-21,0.2114,0.1377,7.71343547576675,7.038553284191961,44.34,0.03001922890296759,1.8681160623972308,0.8210884353741498,0.8184438040345821,3.0,75.93582887700533,1.268682926610806,0.04428145352729929,0.023083770081346978,-0.10116736677658789,0.018581884667289744,2.27517034939845,-0.7346940216164698,3.22004357298475,-31.23,-34.73,-30.29,not_long,short,short,6.007669365147006,-34.9808265871325
ENSO/USDT,2025-11-21 17:45:00+00:00,2025-11-21,0.2082,0.1101,7.299531703926425,6.617964578562366,19.8,0.015620912549976046,8.1874977480304,0.44477172312223845,0.8807339449541283,1.0,80.06535947712416,1.164973791029122,0.04183884297520661,0.03304044619464369,-0.05851240037651051,0.0455805317281186,18.408314473220674,-0.531447778169941,1.798365122615804,-16.53,-20.45,-20.41,not_long,short,short,15.185950413223148,-17.871900826446275
JELLYJELLY/USDT,2025-11-21 04:45:00+00:00,2025-11-21,0.3288,0.1069,7.732714946559481,7.2496115112851784,46.89,0.023887067797570584,6.989283330385999,0.5431500996866988,0.7521613832853018,4.0,89.5727365208545,1.3093257551092299,0.040816326530612235,0.04443146355216216,0.024818797138961984,0.054684821345072035,12.86805127057433,0.23216835490142176,4.386342376052386,-30.46,-25.83,-25.65,not_long,short,short,13.619541080680996,-31.532198371576612
PARTI/USDT,2025-11-21 18:15:00+00:00,2025-11-21,0.3511,0.3841,7.246910521964994,6.792388817541378,25.8,0.0340921341656908,75.10461156946371,0.5163216560509554,0.9589603283173735,1.0,89.39969604863224,1.5774236443463054,0.0314255551785243,0.6456306807180838,0.5429467604294288,0.6509768854037155,145.46089765805155,1.413555741810541,0.6717000781046604,-10.58,10.21,33.56,long,short,long,36.4740036949063,-28.41119028767485
PIXEL/USDT,2025-11-21 00:30:00+00:00,2025-11-21,0.2079,0.1058,7.090926302659367,6.408764195093823,26.1,0.020656225274799468,10.144739815522438,0.4042891183478952,0.47515527950310554,4.0,88.26666666666668,1.3620074037907772,0.035736621102474775,0.15930341340735088,0.6083019569511287,0.15113418719461272,25.092784730339385,5.749545906910479,2.466918714555766,-13.63,-20.2,-23.76,not_long,short,short,10.569105691056912,-23.139462163852407
PIPPIN/USDT,2025-11-22 21:30:00+00:00,2025-11-22,0.3553,0.1175,7.48069799962705,7.03123228676009,36.32,0.021755050689155325,7.596632882781352,0.5625,0.6898047722342732,1.0,65.56042579837194,0.8457146703156664,0.07036599763872492,-0.07905619525411181,-0.03753137803462796,-0.17807658086961822,13.505125124944625,-0.31941598327342946,3.091063829787234,-7.5,116.46,225.79,long,not_short,long,183.23966942148763,-27.239669421487612
